XXX time_point 3918, cid 17 -> FULL
XXX time_point 3938, cid 17 -> FULL
XXX time_point 3943, cid 17 -> FULL
XXX time_point 3948, cid 17 -> FULL
XXX time_point 3958, cid 17 -> FULL
XXX time_point 3963, cid 17 -> FULL
XXX time_point 3964, cid 17 -> FULL
XXX time_point 3969, cid 17 -> FULL
XXX time_point 3974, cid 17 -> FULL
XXX time_point 3994, cid 17 -> FULL
XXX time_point 3999, cid 17 -> FULL
XXX time_point 4004, cid 17 -> FULL
XXX time_point 4009, cid 17 -> FULL
XXX time_point 4014, cid 17 -> FULL
XXX time_point 4015, cid 17 -> FULL
XXX time_point 4020, cid 17 -> FULL
XXX time_point 4025, cid 17 -> FULL
XXX time_point 4030, cid 17 -> FULL
XXX time_point 4040, cid 17 -> FULL
XXX time_point 4045, cid 17 -> FULL
XXX time_point 4050, cid 17 -> FULL
XXX time_point 4056, cid 17 -> FULL
XXX time_point 4061, cid 17 -> FULL
XXX time_point 4081, cid 17 -> FULL
XXX time_point 4086, cid 17 -> FULL
XXX time_point 4091, cid 17 -> FULL
XXX time_point 4096, cid 17 -> FULL
XXX time_point 4101, cid 17 -> FULL
XXX time_point 4106, cid 17 -> FULL
XXX time_point 4111, cid 17 -> FULL
XXX time_point 4112, cid 17 -> FULL
XXX time_point 4119, cid 17 -> FULL
XXX time_point 4124, cid 17 -> FULL
XXX time_point 4129, cid 17 -> FULL
XXX time_point 4134, cid 17 -> FULL
XXX time_point 4164, cid 17 -> FULL
XXX time_point 4174, cid 17 -> FULL
XXX time_point 4179, cid 17 -> FULL
XXX time_point 4184, cid 17 -> FULL
XXX time_point 4189, cid 17 -> FULL
XXX time_point 4194, cid 17 -> FULL
XXX time_point 4224, cid 17 -> FULL
XXX time_point 4229, cid 17 -> FULL
XXX time_point 4234, cid 17 -> FULL
XXX time_point 4239, cid 17 -> FULL
XXX time_point 4259, cid 17 -> FULL
XXX time_point 4266, cid 17 -> FULL
XXX time_point 4271, cid 17 -> FULL
XXX time_point 4276, cid 17 -> FULL
XXX time_point 4281, cid 17 -> FULL
XXX time_point 4286, cid 17 -> FULL
XXX time_point 4316, cid 17 -> FULL
XXX time_point 4321, cid 17 -> FULL
XXX time_point 4322, cid 17 -> FULL
XXX time_point 4327, cid 17 -> FULL
XXX time_point 4332, cid 17 -> FULL
XXX time_point 4352, cid 17 -> FULL
XXX time_point 4357, cid 17 -> FULL
XXX time_point 4358, cid 17 -> FULL
XXX time_point 4363, cid 17 -> FULL
XXX time_point 4368, cid 17 -> FULL
XXX time_point 4373, cid 17 -> FULL
XXX time_point 4378, cid 17 -> FULL
XXX time_point 4383, cid 17 -> FULL
XXX time_point 4388, cid 17 -> FULL
XXX time_point 4393, cid 17 -> FULL
XXX time_point 4398, cid 17 -> FULL
XXX time_point 4403, cid 17 -> FULL
XXX time_point 4408, cid 17 -> FULL
XXX time_point 4428, cid 17 -> FULL
XXX time_point 4433, cid 17 -> FULL
XXX time_point 4434, cid 17 -> FULL
XXX time_point 4439, cid 17 -> FULL
XXX time_point 4444, cid 17 -> FULL
XXX time_point 4449, cid 17 -> FULL
XXX time_point 4450, cid 17 -> FULL
XXX time_point 4451, cid 17 -> FULL
XXX time_point 4456, cid 17 -> FULL
XXX time_point 4461, cid 17 -> FULL
XXX time_point 4466, cid 17 -> FULL
XXX time_point 4471, cid 17 -> FULL
XXX time_point 4472, cid 17 -> FULL
XXX time_point 4477, cid 17 -> FULL
XXX time_point 4482, cid 17 -> FULL
XXX time_point 4487, cid 17 -> FULL
XXX time_point 4517, cid 17 -> FULL
